operation	global_time	length_of_queue	logical_clock	clockrate: 6
|send			|	time.time	|	0		|	687
|send			|	time.time	|	0		|	688
|send			|	time.time	|	0		|	689
|internal event	|	time.time	|	0		|	690
|receive		|	time.time	|	2		|	690
|receive		|	time.time	|	1		|	691
|internal event	|	time.time	|	0		|	693
|send			|	time.time	|	0		|	694
|internal event	|	time.time	|	0		|	695
|internal event	|	time.time	|	0		|	696
|receive		|	time.time	|	1		|	696
|internal event	|	time.time	|	0		|	698
|internal event	|	time.time	|	0		|	699
|internal event	|	time.time	|	0		|	700
|internal event	|	time.time	|	0		|	701
|internal event	|	time.time	|	0		|	702
|receive		|	time.time	|	2		|	702
|receive		|	time.time	|	1		|	703
|send			|	time.time	|	0		|	705
|send			|	time.time	|	0		|	706
|internal event	|	time.time	|	0		|	707
|send			|	time.time	|	0		|	708
|send			|	time.time	|	0		|	709
|internal event	|	time.time	|	0		|	710
|internal event	|	time.time	|	0		|	711
|send			|	time.time	|	0		|	712
|internal event	|	time.time	|	0		|	713
|internal event	|	time.time	|	0		|	714
|send			|	time.time	|	0		|	715
|send			|	time.time	|	0		|	716
|internal event	|	time.time	|	0		|	717
|send			|	time.time	|	0		|	718
|internal event	|	time.time	|	0		|	719
|internal event	|	time.time	|	0		|	720
|internal event	|	time.time	|	0		|	721
|internal event	|	time.time	|	0		|	722
|send			|	time.time	|	0		|	723
|send			|	time.time	|	0		|	724
|internal event	|	time.time	|	0		|	725
|send			|	time.time	|	0		|	726
|receive		|	time.time	|	1		|	726
|internal event	|	time.time	|	0		|	728
|send			|	time.time	|	0		|	729
|internal event	|	time.time	|	0		|	730
|send			|	time.time	|	0		|	731
|internal event	|	time.time	|	0		|	732
|receive		|	time.time	|	1		|	732
|internal event	|	time.time	|	0		|	734
|internal event	|	time.time	|	0		|	735
|internal event	|	time.time	|	0		|	736
|internal event	|	time.time	|	0		|	737
|send			|	time.time	|	0		|	738
|internal event	|	time.time	|	0		|	739
|internal event	|	time.time	|	0		|	740
|internal event	|	time.time	|	0		|	741
|internal event	|	time.time	|	0		|	742
|send			|	time.time	|	0		|	743
|send			|	time.time	|	0		|	744
|receive		|	time.time	|	2		|	744
|receive		|	time.time	|	1		|	745
|internal event	|	time.time	|	0		|	747
|send			|	time.time	|	0		|	748
|send			|	time.time	|	0		|	749
|send			|	time.time	|	0		|	750
|send			|	time.time	|	0		|	751
|internal event	|	time.time	|	0		|	752
|internal event	|	time.time	|	0		|	753
|internal event	|	time.time	|	0		|	754
|internal event	|	time.time	|	0		|	755
|internal event	|	time.time	|	0		|	756
|receive		|	time.time	|	1		|	756
|send			|	time.time	|	0		|	758
|internal event	|	time.time	|	0		|	759
|internal event	|	time.time	|	0		|	760
|internal event	|	time.time	|	0		|	761
|internal event	|	time.time	|	0		|	762
|send			|	time.time	|	0		|	763
|send			|	time.time	|	0		|	764
|send			|	time.time	|	0		|	765
|internal event	|	time.time	|	0		|	766
|send			|	time.time	|	0		|	767
|internal event	|	time.time	|	0		|	768
|receive		|	time.time	|	2		|	768
